"In Heather's Sheet",,,,"In Amandus's Sheet",,,"What it SHOULD be",,,"Comment"
"Mtwara","Tandahimba","Lutengano Refusal- too disorganized","e","Mtwara","Tandahimba","Lutengano",,,"Lutengano","refusal- too disorganized"
"Mwanza","Ilemela","BUTIMBA TTC","e","Mwanza","-","Butimba TTc",,"Ilemela","Butimba TTC",
"Mwanza","Mwanza","ACORD Tanzania","n",,,,,,,
"Mwanza","Mwanza","Adilisha child youth dev.&Family preservation","n",,,"Adilisha Child Youth Devevelopment & Family Preservation",,,,
"Mwanza","Mwanza","Kapri point Youth Organisation","n",,,"Kapri Point Youth Organisation",,,,
"Mwanza","Mwanza","Kivulini Women Rights Organisation","n",,,,,,,
"Mwanza","Mwanza","Kuleana","n",,,,,,,
"Mwanza","Mwanza","KVTC","n",,,,,,,
"Mwanza","Mwanza","Starehe Children Homes","n",,,,,,,
"Mwanza","Mwanza","TANESA","n",,,,,,,
"Mwanza","Mwanza urban","RAC","n",,,,,,,
"Mwanza","Sengerema","EWAMEC","n","Mwanza","Sengerema","EWAMEC",,,,
"Pemba","Pemba","Family Planning Programme","n",,,,,,,
"Pemba","Pemba","Mkoani Poverty Eradication Society (MPESO)","n",,,,,,,
"Pemba","Pemba","Pemba Island Relief Organisation (PIRO)","n",,,,,,,
"Pemba","Pemba","UMATI Youth Centre","n",,,,,,,
"Pemba","Pemba","Zanzibar Nurses Association (ZANA)","n",,,,,,,
"Pemba","Pemba","Zanzibar Teachers' Union (ZATU)","n",,,,,,,
"Pwani","Kibaha","RAC","n",,,,,,,
"Rukwa","Mpanda","DAC","e","Rukwa","Mpanda district","DAC",,"Mpanda",,
"Rukwa","Mpanda","Ngao Youth Group","n",,,,,,,
"Rukwa","Mpanda","Ngimbwa Farmers Association","n",,,,,,,
"Rukwa","S'wanga","DAC","e","Rukwa","Sumbawanga","DAC",,"Sumbawanga",,
"Rukwa","S'wanga","DC","n",,"Sumbawanga",,,,,
"Rukwa","S'wanga","RAC","n",,"Sumbawanga",,,,,
"Rukwa","S'wanga","Rukwa Association of NGOs","e","Rukwa","Sumbawanga","Rukwa assoc.of NGO",,"Sumbawanga","Rukwa Association of NGOs",
"Ruvuma","Songea","CHAMA CHA VIZIWI (Kiwohede, same organization)","e","Ruvuma","Songea","Chama cha Viziwi",,,"Chama cha Viziwi","Kiwohede, same organization"
"Ruvuma","Songea","Good Samaritan Mission","e","Ruvuma","Songea","G. Samaritan",,,"Good Samaritan Mission",
"Ruvuma","Songea","Health Dev. Foundation","n",,,"Health Development Foundation",,,,
"Ruvuma","Songea","KIWOHEDE -information is recorded in Chama cha viziwi","e","Ruvuma","Songea","Kiwohede",,,,"information is recorded in Chama cha viziwi"
"Ruvuma","Songea","RAC","n",,,,,,,
"Ruvuma","Songea","Regioanl Office Administator","n",,,"Regional Office Administator",,,,
"Ruvuma","Songea","St. Theresa Orphan Foundation","e","Ruvuma","Songea","St. Theresa",,,"St. Theresa Orphan Foundation",
"Ruvuma","Tunduru","TUICO","n",,,,,,,
"Ruvuma","Tunduru","Tunduru Forum for AIDs Education(TUFAE)","e","Ruvuma","Tunduru","TUFAE",,,"TUFAE","Tunduru Forum for AIDs Education(TUFAE)"
"Shinyanga","Shinyanga","RAC","n",,,,,,,
"Singida","Singida","Land Management Programme","n",,,,,,,
"Singida","Singida","RAC","n",,,,,,,
"Singida","Singida","Singida Women Living with HIV/AIDs(SIWOLIHA)","n",,,,,,,
"Singida","Singida","SIPHA","n",,,,,,,
"Singida","Singida","Women Econ.Groups Cordinating Council (WEGCC)","n",,,"Women Economic Groups Cordinating Council (WEGCC)",,,,
"Tabora","Tabora","RAC","n",,,,,,,
"Tabora","Tabora","Tabora Elders and Youth Dev. Association (TEYODA)","n",,,"Tabora Elders and Youth Development Association (TEYODA)",,,,
"Tabora","Tabora","Tabora NGO Cluster","n",,,,,,,
"Tanga","Lushoto","Mwangole Mlolo Lushoto Health Centre","n",,,,,,,
"Tanga","Pangani","TAWAHAESS","n",,,,,,,
"Tanga","Tanga","GTZ/Tanga TGPSH","n",,,,,,,
"Tanga","Tanga","RAC","n",,,,,,,
"Tanga","Tanga","Tanga Youth Dev. Association (TAYODEA)","n",,,"Tanga Youth Development Association (TAYODEA)",,,,
"Tanga","Tanga","Tanzania 4H Organisation","n",,,,,,,
"Uganda","Tunduru","Makerere University","n",,,,,,,
"Zanzibar","Ilala","Zanzibar Library","n",,,,,,,
"Zanzibar","Unguja","Action Aid","n",,,,,,,
"Zanzibar","Unguja","Aga khan Cultural Centre","n",,,,,,,
"Zanzibar","Unguja","Al-rahma medical Centre","n",,,,,,,
"Zanzibar","Unguja","ANGOZA","n",,,,,,,
"Zanzibar","Unguja","ARK - John Hopkins University","n",,,,,,,
"Zanzibar","Unguja","CARE International","n",,,,,,,
"Zanzibar","Unguja","Changamoto Preservation Fund","n",,,,,,,
"Zanzibar","Unguja","College of Health Science Education","n",,,,,,,
"Zanzibar","Unguja","INGO Resource Centre","n",,,"NGO Resource Centre",,,,
"Zanzibar","Unguja","Marie Stopes Tanzania","n",,,,,,,
"Zanzibar","Unguja","Save the Children","n",,,,,,,
"Zanzibar","Unguja","SOS Children's village","n",,,"SOS Children's Village",,,,
"Zanzibar","Unguja","Stone town Youth Centre","n",,,"Stone Town Youth Centre",,,,
"Zanzibar","Unguja","The State University of Zanzibar","n",,,"The State University of Zanzibar",,,,
"Zanzibar","Unguja","University Of Dar es salaam (Marine)","n",,,"University Of Dar es Salaam (Marine)",,,,
"Zanzibar","Unguja","UWTZ","n",,,"UWTZ",,,,
"Zanzibar","Unguja","WHO","n",,,"WHO",,,,
"Zanzibar","Unguja","Women Enterpreneurship Dev.Trust Fund (WEDTF)","n",,,"Women Enterpreneurship Development Trust Fund (WEDTF)",,,,
"Zanzibar","Unguja","Zanzibar Association of People with HIV and AIDs","n",,,"Zanzibar Association of People with HIV and AIDS",,,,
"Zanzibar","Unguja","Znz Aids Commission (ZAC)","n",,,"Zanzibar Aids Commission (ZAC)",,,,
"Zanzibar","Unguja","Znz Association for Children Advancement","n",,,"Zanzibar Association for Children Advancement",,,,
"Zanzibar","Unguja","Znz Association of Information Against Drug Abuse","n",,,"Zanzibar Association of Information Against Drug Abuse",,,,
