"In Heather's Sheet",,,,"In Amandus's Sheet",,,"What it SHOULD be",,,"Comment"
"Dar es Salaam","Ilala","Ministry of Justice and Constitutional Affairs","n",,,,,,"Ministry of Justice and Constitutional Affairs",
"Dar es Salaam","Ilala","Ministry of Labor Employment and Youth Dev.","n",,,,,,"Ministry of Labour Employment and Youth Development",
"Dar es Salaam","Ilala","Ministry of Land,housing and human Settlement","n",,,,,,"Ministry of Land, Housing and human Settlement",
"Dar es Salaam","Ilala","Ministry of Livestock Development","n",,,,,,"Ministry of Livestock Development",
"Dar es Salaam","Ilala","Ministry of Planning and Economic Empowerment","n",,,,,,"Ministry of Planning and Economic Empowerment",
"Dar es Salaam","Ilala","Ministry of Public Safety and Security","n",,,,,,"Ministry of Public Safety and Security",
"Dar es Salaam","Ilala","Ministry of state PMO Parliamentary Affairs","n",,,,,,"Ministry of State PMO Parliamentary Affairs",
"Dar es Salaam","Ilala","Ministry of state PMO Regional Admin and Local Govt","n",,,,,,"Ministry of State PMO Regional Admin and Local Govt",
"Dar es Salaam","Ilala","Ministry of state Presidents' office Good governance","n",,,,,,"Ministry of State President's Office Good Governance",
"Dar es Salaam","Ilala","Ministry of state Presidents' office Public Service Mgt","n",,,,,,"Ministry of State President's Office Public Service Mgt",
"Dar es Salaam","Ilala","Ministry of state, Pres.office Pol.affairs and Civil Societies relations","n",,,,,,"Ministry of State President's Office Political Affairs and Civil Societies Relations",
"Dar es Salaam","Ilala","Ministry of State,vice Presidents office Environment","n",,,,,,"Ministry of State Vice President's Office Environment",
"Dar es Salaam","Ilala","Ministry of state,vice Presidents office Union","n",,,,,,"Ministry of State Vice President's Office Union",
"Dar es Salaam","Ilala","Ministry of Tourism and Natural Resources","n",,,,,,"Ministry of Tourism and Natural Resources",
"Dar es Salaam","Ilala","Ms Tanzania","n",,,,,,,
"Dar es Salaam","Ilala","MUCHS","n",,,,,,,
"Dar es Salaam","Ilala","Muhimbili AIDs Information Centre","n",,,,,,"Muhimbili AIDS Information Centre",
"Dar es Salaam","Ilala","NACP","n",,,,,,,
"Dar es Salaam","Ilala","Pathfinder International","n",,,,,,,
"Dar es Salaam","Ilala","PHAERA Group","n",,,,,,,
"Dar es Salaam","Ilala","Plan International","n",,,,,,,
"Dar es Salaam","Ilala","Positive Initiative of People living with HIV","n",,,,,,"Positive Initiative of People Living with HIV",
"Dar es Salaam","Ilala","Poverty Fighters Group","n",,,,,,,
"Dar es Salaam","Ilala","RAC","n",,,,,,,
"Dar es Salaam","Ilala","RED CROSS","e","Dar es Salaam","Dar es Salaam","Red Cross Dar es Salaam",,"Ilala","Red Cross",
"Dar es Salaam","Ilala","Russian Cultural Centre","n",,,,,,,
"Dar es Salaam","Ilala","Savannah Theatre Group","n",,,,,,,
"Dar es Salaam","Ilala","Save your Generation","n",,,,,,,
"Dar es Salaam","Ilala","SWEDISH Embassy","n",,,,,,"Swedish Embassy",
"Dar es Salaam","Ilala","TACAIDS","n",,,,,,,
"Dar es Salaam","Ilala","TAMWA","n",,,,,,,
"Dar es Salaam","Ilala","TANGO","n",,,,,,,
"Dar es Salaam","Ilala","TAWLA","n",,,,,,,
"Dar es Salaam","Ilala","TECHNOSERVE","e","Dar es Salaam","Dar es Salaam","TECHNOSERVE",,"Ilala","Technoserve",
"Dar es Salaam","Ilala","TGPSH","n",,,,,,,
"Dar es Salaam","Ilala","The Policy Project","n",,,,,,,
"Dar es Salaam","Ilala","UMATI  - only sent to dar - rest distrib by org","n",,,,,,"UMATI","only sent to dar - rest distrib by org"
"Dar es Salaam","Ilala","UMUKA","n",,,,,,,
"Dar es Salaam","Ilala","UNAIDS","n",,,,,,,
"Dar es Salaam","Ilala","UNFPA","n",,,,,,,
"Dar es Salaam","Ilala","UNHCR","n",,,,,,,
"Dar es Salaam","Ilala","UNICEF","n",,,,,,,
"Dar es Salaam","Ilala","Ushiya Entertainment Group","n",,,,,,,
"Dar es Salaam","Ilala","Youth Cultural and Information Centre","n",,,,,,,
"Dar es Salaam","Ilala","Youth Development Network","n",,,,,,,
"Dar es Salaam","Ilala","Youth Parent Crisis Centre","n",,,,,,,
"Dar es Salaam","Ilala","Youth STD Clinic","n",,,,,,,
"Dar es Salaam","Kigoma","Kilimanjaro Arts","n",,,,,,,
"Dar es Salaam","Kigoma","RIPS (GTZ program)","n",,,,,,,
"Dar es Salaam","Kilondoni","Mashujaa Cultural Group","n",,,,,,,
"Dar es Salaam","Kilondoni","PACT","n",,,,,,,
"Dar es Salaam","Kinondoni","Action Aid","n",,,,,,,
"Dar es Salaam","Kinondoni","AFRICARE","n",,,,,,,
"Dar es Salaam","Kinondoni","AJAAT","n",,,,,,,
"Dar es Salaam","Kinondoni","Amali Arts and Cultural group","n",,,,,,,
"Dar es Salaam","Kinondoni","American Peace Corps","n",,,,,,"Peace Corps",
"Dar es Salaam","Kinondoni","BAKWATA","n",,,,,,,
"Dar es Salaam","Kinondoni","BAWACECY","n",,,,,,,
"Dar es Salaam","Kinondoni","CARE International","n",,,,,,,
"Dar es Salaam","Kinondoni","CONCERN TZ","n",,,,,,,
"Dar es Salaam","Kinondoni","Don Bosco Centre","n",,,,,,,
"Dar es Salaam","Kinondoni","ECET Cultural Group","n",,,,,,,
"Dar es Salaam","Kinondoni","Ekuu Tabata Youth","n",,,,,,,
"Dar es Salaam","Kinondoni","FHI","n",,,,,,,
"Dar es Salaam","Kinondoni","FLAT","n",,,,,,,
"Dar es Salaam","Kinondoni","Forum Syd","n",,,,,,,
"Dar es Salaam","Kinondoni","Habitat for Humanity","n",,,,,,,
"Dar es Salaam","Kinondoni","Hindu Mandal Hosp.","n",,,,,,"Hindu Mandal Hospital",
"Dar es Salaam","Kinondoni","Kimanga Sisters","n",,,,,,,
"Dar es Salaam","Kinondoni","Kimara Peer Educators","n",,,,,,,
"Dar es Salaam","Kinondoni","Kinondoni Municipality","n",,,,,,,
"Dar es Salaam","Kinondoni","Kisukuru Youth Club","n",,,,,,,
"Dar es Salaam","Kinondoni","Lugalo Hosp.","n",,,,,,"Lugalo Hospital",
"Dar es Salaam","Kinondoni","Magomeni Health Centre","n",,,,,,,
"Dar es Salaam","Kinondoni","Manzese Youth Group","n",,,,,,,
"Dar es Salaam","Kinondoni","Matumaini Counselling Care and Support","n",,,,,,,
"Dar es Salaam","Kinondoni","Mikocheni Hospital","n",,,,,,,
"Dar es Salaam","Kinondoni","Ministry of Water","n",,,,,,,
"Dar es Salaam","Kinondoni","M'nyamala Hosp.","n",,,,,,"M'nyamala Hospital",
"Dar es Salaam","Kinondoni","Netherlands Embassy","n",,,,,,,
"Dar es Salaam","Kinondoni","Norwegian Peoples' Aid","n",,,,,,"Norwegian People's Aid",
"Dar es Salaam","Kinondoni","PSI","e","Dar es Salaam","Dar es Salaam","PSI",,"Kinondoni",,
"Dar es Salaam","Kinondoni","RADIO VICTORIA FM","n",,,,,,"Radio Victoria FM",
"Dar es Salaam","Kinondoni","RFE","n",,,,,,,
"Dar es Salaam","Kinondoni","SAVE THE CHILDREN","n",,,,,,"Save the Children",
"Dar es Salaam","Kinondoni","SHIDEPHA + - all done together under DSM","n",,,,,,"SHIDEPHA","All done together under DSM"
"Dar es Salaam","Kinondoni","Sotte Cultural Troupe","n",,,,,,,
"Dar es Salaam","Kinondoni","TANOPHA","n",,,,,,,
"Dar es Salaam","Kinondoni","Tanzania dev. Gateway Econ.& Social Research Foundation","n",,,,,,"Tanzania Development Gateway Economic & Social Research Foundation",
"Dar es Salaam","Kinondoni","Tanzania Youth Awareness Trust Fund","n",,,,,,,
"Dar es Salaam","Kinondoni","TAYOA","n",,,,,,,
"Dar es Salaam","Kinondoni","TAYOPA","n",,,,,,,
