,"ARUSHA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
50,"Zanaki ss"," 532 "," 22 "," 75 ",20576,"Town","24557",07-Aug-07,75
51,"Chuo Cha Ufundi Walemavu",,," 50 ",,"Yombo Vituka","24580",14-Aug-07,50
52,"Yombo VTC",,," 100 ",40302,"Yombo Vituka","24581",14-Aug-07,100
,," 5,781 "," 300 "," 3,300 ",,,,,"3,300"
,"IRINGA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Kawawa SS"," 280 "," 20 "," 50 ",213,"Mafinga","19969",13-Aug-07,50
2,"Mdabulo SS"," 360 "," 24 "," 50 ",246,"Mufindi","19952",15-Aug-07,50
3,"Udzungwa SS"," 300 "," 18 "," 50 ",693,"Iringa","19974",17-Aug-07,50
4,"Ulayasi SS"," 245 "," 16 "," 50 ",666,"Njombe","24670",25-Aug-07,50
5,"Mulamwike ss"," 180 "," 8 "," 50 ",390,"Iringa","24708",22-Aug-07,50
6,"Mpechi ss"," 845 "," 47 "," 50 ",242,"Njombe","20008",21-Aug-07,50
7,"Makambako Educ. centre"," 215 "," 10 "," 50 ",543,"Makambako","19954",20-Aug-07,50
8,"Idodi SS"," 550 "," 22 "," 75 ","P/bag","Iringa","20047",20-Aug-07,75
9,"Udzungwa SS"," 280 "," 16 "," 50 ",1693,"Iringa","24705",17-Aug-07,50
10,"Ukumbi SS"," 220 "," 26 "," 50 ",551,"Iringa","24693",23-Aug-07,50
11,"Lugalawa ss"," 263 "," 11 "," 50 ","P/bag",,"24699",20-Aug-07,50
12,"Cagliero Girls ss"," 460 "," 20 "," 50 ",930,"Iringa","24681",17-Aug-07,50
13,"Highlands ss"," 1,100 "," 25 "," 100 ",283,"Iringa","19990",23-Aug-07,100
14,"Mwembetogwa ss"," 996 "," 28 "," 100 ",462,"Iringa","24713",20-Aug-07,100
15,"Manda ss"," 350 "," 19 "," 50 ",7,"Ludewa","20029",22-Aug-07,50
16,"Mahongole SS"," 322 "," 17 "," 50 ",130,"Makambako","19713",13-Aug-07,50
17,"Nyamalala ss"," 245 "," 10 "," 50 ",226,"Mafinga","19971",14-Aug-07,50
18,"Itandula ss"," 180 "," 7 "," 50 ","P/bag","Mufindi","19962",15-Aug-07,50
19,"Mtwango ss"," 1,054 "," 24 "," 50 ",370,"Njombe","20006",05-Aug-07,50
20,"Mtera ss"," 314 "," 12 "," 75 ","P/bag","Iringa (v0","19983",24-Aug-07,75
21,"St.Joseph Kilocha sem."," 165 "," 14 "," 50 ","P/bag","Njombe","20026",22-Aug-07,50
22,"JJ Mungai ss"," 185 "," 15 "," 50 ",297,"Mafinga","19970",13-Aug-07,50
23,"Kinyanambo ss"," 200 "," 20 "," 50 ",220,"Mafinga","19968",13-Aug-07,50
24,"Selebu ss"," 180 "," 17 "," 50 ",19,"Mafinga","24707",22-Aug-07,50
25,"Kidugala seminary"," 300 "," 20 "," 50 ",97,"Njombe","20027",27-Aug-07,50
26,"Kitwilu ss"," 928 "," 68 "," 100 ",11,"Ifunda","24685",20-Aug-07,100
27,"Ilula SS (Spw)"," 646 "," 27 "," 75 ",29,"Mazombe","19981",24-Aug-07,75
28,"Iringa Girls SS (Spw)"," 580 "," 46 "," 75 ","P/bag","Iringa","20045",23-Aug-07,75
29,"Malangali SS (Spw)"," 417 "," 30 "," 50 ",4,"Malangali","24701",20-Aug-07,50
30,"Mkwawa Univ. college of education"," 720 "," 45 "," 100 ","P/bag","Iringa","24687",17-Aug-07,100
31,"Mwakavuta SS (Spw)"," 324 "," 10 "," 50 ",116,"Bulongwa","24711",26-Aug-07,50
32,"Tosamaganga SS (Spw)"," 801 "," 33 "," 100 ",569,"Iringa","19975",02-Sep-07,100
33,"Wanike ss (Spw)"," 380 "," 13 "," 50 ",358,"Njombe","24717",20-Aug-07,50
34,"Njombe ss (Spw)"," 766 "," 54 "," 100 ",144,"Njombe","20034",27-Aug-07,100
35,"Manyunyu Girls ss (Spw)"," 250 "," 9 "," 50 ","P/bag","Njombe","24715",20-Aug-07,50
36,"Kalenga SS (Spw)"," 433 "," 12 "," 50 ",17,"Iringa","19972",17-Sep-07,50
37,"Lupembe SS (Spw)"," 350 "," 12 "," 50 ",114,"Njombe","20019",25-Aug-07,50
38,"Makambako SS (Spw)"," 726 "," 20 "," 100 ",1120,"Makambako","19715",15-Aug-07,100
39,"Igowole SS (Spw)"," 476 "," 16 "," 50 ",29,"Mufindi","19964",17-Aug-07,50
40,"Isimani SS (Spw)"," 274 "," 9 "," 50 ","P/bag","Iringa","19973",17-Aug-07,50
41,"Kibao SS (Spw)"," 388 "," 14 "," 50 ",26,"Iringa","19967",16-Aug-07,50
42,"Kibengu SS (Spw)"," 400 "," 12 "," 50 ",305,"Iringa","19965",15-Aug-07,50
43,"Kifanya SS (Spw)"," 874 "," 22 "," 100 ",414,"Njombe","20001",22-Aug-07,100
44,"Makoga SS (Spw)"," 417 "," 14 "," 50 ",230,"Njombe","20004",21-Aug-07,50
45,"Matola SS (Spw)"," 464 "," 13 "," 50 ",169,"Njombe","20012",23-Aug-07,50
46,"Mgololo SS (Spw)"," 297 "," 12 "," 50 ",485,"Mafinga","24703",22-Aug-07,50
47,"Pomerin SS (Spw)"," 407 "," 19 "," 50 ",511,"Iringa","19984",24-Aug-07,50
48,"Saadani SS (Spw)"," 225 "," 14 "," 50 ",244,"Mafinga","19985",20-Aug-07,50
49,"Uwemba SS (Spw)"," 644 "," 18 "," 100 ",241,"Iringa","20003",22-Aug-07,100
50,"Wang'ing'ombe SS (Spw)"," 639 "," 20 "," 100 ",664,"Iringa","19714",20-Aug-07,100
51,"Mawelewele ss (Spw)"," 488 "," 26 "," 50 ",459,"Iringa","24688",17-Aug-07,50
52,"Lugalo ss (Spw)"," 1,162 "," 80 "," 100 ",145,"Iringa","19989",23-Aug-07,100
53,"Ruaha ss (Spw)"," 542 "," 33 "," 75 ",734,"Iringa","19992",23-Aug-07,75
54,"Masimbwe ss (Spw)"," 189 "," 11 "," 50 ",,,"24669",28-Jul-07,50
55,"Bulongwa ss (Spw)"," 273 "," 11 "," 50 ",137,"Makete","24712",25-Aug-07,50
56,"Lupalilo ss (Spw)"," 261 "," 9 "," 50 ",22,"Makete","24658",26-Aug-07,50
57,"Lupila ss (Spw)"," 271 "," 9 "," 50 ",112,"Njombe","24657",24-Aug-07,50
58,"Itengule ss (Spw)"," 366 "," 9 "," 50 ",32,"Mufindi","24702",20-Aug-07,50
59,"Makoga ss (Spw)"," 280 "," 14 "," 50 ",230,"Njombe","20022",19-Aug-07,50
60,"Madunda ss (Spw)"," 260 "," 9 "," 50 ",654,"Madunda Ludewa","20023",22-Aug-07,50
61,"Ludewa ss (Spw)"," 615 "," 13 "," 75 ",72,"Ludewa","24714",20-Aug-07,75
62,"Iwawa ss (Spw)"," 316 "," 9 "," 50 ","P/bag","Tandala Njombe","24666",26-Aug-07,50
63,"Isimila ss (Spw)"," 300 "," 15 "," 50 ","P/bag","Iringa(v)","19976",12-Aug-07,50
64,"Ikuwo ss",,," 50 ",,"Makete","24716",26-Aug-07,50
65,"Chief Kidulile ss",,," 50 ",,"Ludewa","24709",20-Aug-07,50
66,"St.Getrude ss",,," 50 ",,"Njombe","20011",23-Aug-07,50
67,"Changarawe ss",,," 50 ",,"Mafinga","19960",14-Aug-07,50
68,"Mabatini ss",,," 50 ",526,"Njombe","20031",27-Aug-07,50
69,"Ikuna ss",,," 50 ",,"Njombe","24685",26-Aug-07,50
70,"Tagamenda ss"," 322 "," 20 "," 50 ","1632,","Iringa","24684",20-Aug-07,50
71,"Lukosi ss",,," 50 ",,"Iringa","19978",27-Aug-07,50
72,"Nyerere ss",,," 50 ",,"Iringa","24706",22-Aug-07,50
73,"Ifunda Tech. ss",,," 75 ",7,"Ifunda","24710",20-Aug-07,75
74,"Kleruu TTC",,," 75 ",549,"Iringa","19985",23-Aug-07,75
75,"ILULA FDC",,," 50 ",," IRINGA ","19982",23-Aug-07,50
76,"SPRINGVALLEY SS AND SEMINARY",,," 50 "," 273 "," IRINGA ","24689",20-Aug-07,50
77,"FDC Ruaha SS and technical college",,," 50 ",,,"24683",19-Sep-07,50
78,"Brooke  Bond SS School",,," 50 ",,"Mufindi","19963",03-Sep-07,50
79,"Mtwivilla ss",,," 50 ",,"Iringa","24690",22-Aug-07,50
80,"Kihesa ss",,," 50 ",,"Irinagt","24694",20-Aug-07,50
81,"Ummu Salama ss",,," 50 ",,"Iringa","19987",24-Aug-07,50
82,"Kleruu ss",,," 50 ",,"Iringa","19986",23-Aug-07,50
83,"St.Emmanuel ss",,," 50 ",,,"24682",17-Aug-07,50
84,"Mlamwike ss",,," 50 ",,"Iringa","19988",24-Aug-07,50
85,"Ifunda Girls ss",,," 50 ",,,"24698",20-Aug-07,50
86,"Wende ss",,," 50 ",,"Njombe","20015",23-Aug-07,50
87,"Ulembwe ss",,," 50 ",,"Njombe","20005",21-Aug-07,50
88,"Maguvani ss",,," 50 ",,"Makambako","19956",23-Aug-07,50
89,"Itipigi ss",,," 50 ",,"Makambako","20014",22-Aug-07,50
90,"Yakobi ss",,," 50 ",,"Njombe","20002",21-Aug-07,50
91,"Igima ss",,," 50 ",,"Njombe","20021",23-Aug-07,50
92,"Kitegembye ss",,," 50 ",,"Lupembe","20037",25-Aug-07,50
93,"Philip Mangula ss",,," 50 ",,"Njombe","20016",23-Aug-07,50
94,"Mtimbwe ss",,," 50 ",,"Njombe","20007",23-Aug-07,50
,," 16,384 "," 825 "," 5,450 ",,,,," 5,450 "
,"KAGERA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Bugene SS"," 535 "," 26 "," 75 ",198,"Karagwe","21159",23-Aug-07,75
2,"Bukoba SS"," 603 "," 40 "," 75 ",52,"Bukoba","21158",01-Aug-07,75
3,"Gera Vocational Centre"," 180 "," 20 "," 50 ",1349,"Bukoba","21165",09-Aug-07,50
4,"Ihungo SS"," 500 "," 40 "," 50 ",95,"Bukoba","21168",27-Aug-07,50
5,"Kabanga SS"," 460 "," 20 "," 50 ",86,"Ngara","21173",13-Aug-07,50
6,"Kagango SS"," 373 "," 18 "," 50 ",62,"Biharamulo","21174",09-Aug-07,50
7,"Nyanshenye SS"," 154 "," 14 "," 50 ",1781,"Bukoba","21214",02-Aug-07,50
8,"Rugambwa SS"," 400 "," 22 "," 50 ",357,"Bukoba","21219",02-Aug-07,50
9,"Rulenge SS"," 455 "," 21 "," 50 ",36,"Ngara","21222",11-Aug-07,50
10,"Rumanyika SS"," 166 "," 15 "," 50 ",77,"Karagwe","21223",02-Aug-07,50
11,"Rutabo SS"," 452 "," 29 "," 50 ",174,"Kamachumu","21224",20-Aug-07,50
12,"Ndolage Nursing School"," 200 "," 12 "," 50 ",34,"Kamachumu","21204",20-Aug-07,50
13,"Nyabiyonza SS"," 410 "," 21 "," 50 ",36,"Karagwe","21209",23-Aug-07,50
14,"Omumwani SS"," 374 "," 21 "," 50 ",217,"Bukoba","21215",27-Aug-07,50
15,"Chato ss"," 327 "," 11 "," 50 ",50,"Biharamulo","21164",20-Aug-07,50
16,"Biharamulo ss"," 492 "," 23 "," 50 ",143,"Biharamulo","21156",09-Aug-07,50
17,"Kahororo ss"," 426 "," 18 "," 50 ",198,"Bukoba","21177",09-Aug-07,50
18,"kashozi ss"," 280 "," 15 "," 50 ",1179,"Bukoba","21185",21-Aug-07,50
19,"Izimbya ss"," 320 "," 9 "," 50 ",726,"Bukoba (v)","21171",21-Aug-07,50
20,"Nyamirembe ss"," 292 "," 12 "," 50 ",9,"Chato","21213",14-Aug-07,50
21,"Izigo ss"," 400 "," 12 "," 50 ",62,"Muleba","21170",20-Aug-07,50
22,"kaigara ss"," 494 "," 16 "," 50 ",253,"Muleba","21178",20-Aug-07,50
23,"Lyamahoro ss"," 340 "," 12 "," 50 ",747,"Bukoba","21198",21-Aug-07,50
24,"Nshamba ss",,," 50 ",70,"Muleba","21208",20-Aug-07,50
25,"Bunazi ss"," 243 "," 14 "," 50 ",79,"Kyaka","21160",01-Aug-07,50
26,"Minziro ss"," 186 "," 6 "," 50 ",29,"Kyaka","21201",23-Aug-07,50
27,"Rwambaizi ss"," 569 "," 19 "," 75 ",78,"Karagwe","21225",23-Aug-07,50
28,"Muyenzi ss"," 316 "," 13 "," 50 ",30,"Ngara","21203",13-Aug-07,50
29,"Maruku ss"," 456 "," 10 "," 50 ",1705,"Bukoba(v)",,,
30,"Mabila ss"," 372 "," 12 "," 50 ",245,"Karagwe","21199",25-Aug-07,50
31,"Nyaishozi ss"," 303 "," 25 "," 50 ",48,"Karagwe","21210",23-Aug-07,50
32,"Hekima Girls ss",,," 50 ",1817,"Bukoba","21166",07-Aug-07,50
33,"Kanyeranyera ss"," 142 "," 24 "," 50 ",219,"Muleba","21180",20-Aug-07,50
34,"Iluhya ss"," 280 "," 8 "," 50 ",308,"Bukoba","21169",07-Aug-07,50
35,"Mugeza ss"," 413 "," 15 "," 50 ",1189,"Bukoba","21202",27-Aug-07,50
36,"Kabale ss"," 362 "," 12 "," 50 ",1807,"Bukoba","21172",01-Aug-07,50
37,"Nyakato ss"," 510 "," 29 "," 50 ",6,"Bukoba","21212",27-Aug-07,50
38,"Buyango ss"," 90 "," 3 "," 50 ",473,"Bukoba","21162",06-Aug-07,50
39,"Bwabuki ss"," 280 "," 13 "," 50 ",252,"Bukoba","21163",09-Aug-07,50
40,"Rubale ss"," 210 "," 9 "," 50 ",89,"Bukoba","21217",21-Aug-07,50
41,"Tweyambe ss",,," 50 ",1305,"Bukoba","21227",09-Aug-07,50
42,"Kanyigo ss"," 478 "," 17 "," 50 ",160,"Bukoba","21131",10-Aug-07,50
43,"Kigarama ss"," 321 "," 9 "," 50 ",90,"Kanyigo","21192",10-Aug-07,50
44,"Kaisho ss"," 623 "," 42 "," 75 ",103,"Karagwe","21179",23-Aug-07,75
45,"Karagwe ss"," 475 "," 36 "," 50 ",87,"Karagwe","21182",23-Aug-07,50
46,"Biirabo ss"," 369 "," 16 "," 50 ",245,"Rubya-Muleba","21157",20-Aug-07,50
47,"Humura ss"," 730 "," 14 "," 100 ",140,"Rubya-Muleba","21167",20-Aug-07,100
48,"Kishoju ss"," 350 "," 12 "," 50 ",11,"Muleba","21195",02-Aug-07,50
49,"Rukindo ss",,," 50 ",208,"Bukoba","21221",20-Aug-07,50
50,"Rubya Seminary",,," 50 ",246,"Rubya-Muleba","21218",20-Aug-07,50
51,"Sumaye Buziku ss"," 254 "," 11 "," 50 ",112,"Biharamulo","21226",13-Aug-07,50
52,"Buseresere ss"," 341 "," 14 "," 50 ",35,"Biharamulo","21161",14-Aug-07,50
53,"Kishogo ss"," 240 "," 7 "," 50 ",1229,"Bukoba(V)","21194",21-Aug-07,50
54,"Ngara Kutwa ss"," 164 "," 10 "," 50 ",133,"Ngara","21205",14-Aug-07,50
55,"Baramba Girls ss"," 419 "," 19 "," 50 ",109,"Ngara","21154",11-Aug-07,50
56,"Katoma ss"," 150 "," 6 "," 50 ",1076,"Bukoba","21139",09-Aug-07,50
57,"Kimwani ss"," 62 "," 6 "," 50 ",101,"Muleba","21193",20-Aug-07,50
58,"Ibanda ss"," 233 "," 10 "," 50 ",515,"Karagwe","21229",23-Aug-07,50
59,"Adolec ss"," 388 "," 13 "," 50 ",325,"Karagwe","21151",23-Aug-07,75
60,"Kyerwa ss",,," 50 ",160,"Kyerwa","21196",23-Aug-07,50
61,"Ndagara ss",,," 50 ",307,,"21230",23-Aug-07,50
62,"Katoro ss"," 239 "," 19 "," 50 ",,"Bukoba (v)","21190",21-Aug-07,50
63,"Mujuga ss",,," 50 ",,"Bukoba (v)",,,
64,"Ngarama ss "," 283 "," 10 "," 50 ",,"Bukoba (v)","21206",21-Aug-07,50
65,"Kagoma ss"," 240 "," 8 "," 50 ",,"Bukoba (v)","21176",20-Aug-07,50
66,"Kahengere/ Kagemu ss",,," 50 ",,,"21175",01-Aug-07,50
67,"Nyakahura ss",,," 50 ",,"Biharamulo","21211",11-Aug-07,50
68,"Buzilayombo ss",,," 50 ",,"Biharamulo","21244",20-Aug-07,50
69,"Katende ss",,," 50 ",,,"21137",13-Aug-07,50
70,"Nyamiaga ss / Shunga ss",,," 50 ",,"Ngara","21232",13-Aug-07,50
71,"Pambana ss",,," 50 ",,"Muleba",,,
72,"Kerwa ss"," 248 "," 19 "," 50 ",,"Karagwe",,,
73,"Benard ss"," 160 "," 14 "," 50 ",,"Karagwe","21155",23-Aug-07,50
74,"Amani ss"," 126 "," 12 "," 50 ",,"Bukoba","21152",01-Aug-07,50
75,"Lake View ss",,," 50 ",,"Bukoba","21197",02-Aug-07,50
76,"Katale ss"," 218 "," 6 "," 50 ",1988,"Bukoba","21186",02-Aug-07,50
77,"Nyarulanda ss / Muleba ss",,," 50 ",,"Muleba","21216",20-Aug-07,50
78,"Karagwe District Vocation Centre"," 179 "," 19 "," 50 ",,"Karagwe","21183",23-Aug-07,50
79,"Nkwenda Vocation Train. Centre"," 100 "," 12 "," 50 ",,"Bukoba","21207",23-Aug-07,50
80,"Rukajange Vocation Centre"," 75 "," 10 "," 50 ",,"Bukoba(v)","21220",02-Aug-07,50
81,"Chuo Cha Ufundi VETA",,," 50 ",,"Bukoba","21228",02-Aug-07,50
82,"Kashasha Chuo Cha Ufundi"," 97 "," 8 "," 50 ",,"Bukoba(v)","21184",02-Aug-07,50
83,"Chuo Cha Ufundi Bakhita",,," 50 ",,"Bukoba","21153",01-Aug-07,50
84,"Kayanga Vocation Train.Centre"," 158 "," 8 "," 50 ",,"Karagwe","21191",22-Aug-07,50
85,"KATOKE TTC"," 320 "," 67 "," 50 ","P/bag","Katoke","21138",02-Aug-07,50
86,"Kaagya ss",,," 50 ",,,"21233",02-Aug-07,50
87,"Zakhia Meghji ss",,," 50 ",,,"21234",14-Aug-07,50
88,"Bujugo ss",,," 50 ",,,"21231",21-Aug-07,50
89,"Kituntu ss",,," 50 ",,,"21235",02-Aug-07,50
90,"Kanyigo Islamic ss",,," 50 ",,,"21236",10-Aug-07,50
91,"Mugana Bakhita ss",,," 50 ",,,"21237",02-Aug-07,50
92,"Nyakahanga  ss",,," 50 ",,,"21238",23-Aug-07,50
93,"Ntale ss",,," 50 ",,,"21243",23-Aug-07,50
94,"Chakaruru ss",,," 50 ",,,"21242",23-Aug-07,50
95,"Kagondo ss",,," 50 ",,,"21239",20-Aug-07,50
96,"Ruhanga ss",,," 50 ",,,"21240",20-Aug-07,50
97,"Mayondwe ss",,," 50 ",,,"21241",20-Aug-07,50
,,,," 5,000 ",,,,," 4,800 "
,"KIGOMA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Kasulu SS"," 360 "," 20 "," 50 ",46,"Kasulu","19073",16-Aug-07,50
2,"Bogwe SS"," 158 "," 18 "," 50 ",100,"Kasulu","19074",14-Aug-07,50
3,"Chumvi SS"," 80 "," 18 "," 50 ",23,"Uvinza","19075",16-Aug-07,50
4,"Kibondo SS"," 280 "," 16 "," 50 ",80,"Kibondo","19098",24-Aug-07,50
5,"Kigoma SS"," 800 "," 32 "," 100 ",51,"Kigoma","20571",20-Aug-07,100
6,"Munanila SS"," 320 "," 21 "," 50 ",1392,"Kigoma","19078",21-Aug-07,50
7,"Mubondo SS / Bangwe ss"," 180 "," 22 "," 50 ",140,"Kasulu","20561",21-Aug-07,50
8,"Lake Tanganyika SS"," 193 "," 34 "," 50 ",69,"Manyovu","19079",16-Aug-07,50
9,"Mwandiga SS"," 700 "," 28 "," 100 ",389,"Mwandiga","20570",20-Aug-07,100
10,"Nguruka SS"," 361 "," 10 "," 50 ",34,"Nguruka","19080",22-Aug-07,50
11,"Nyange SS"," 295 "," 18 "," 50 ",2022,"Kibondo","19081",19-Aug-07,50
12,"Ujiji SS"," 600 "," 24 "," 50 ",811,"Kigoma","20569",17-Aug-07,50
13,"Matyazo SS"," 297 "," 15 "," 50 ",1291,"Kigoma","19082",17-Aug-07,50
14,"Muyama SS"," 255 "," 16 "," 50 ",199,"Kasulu","19071",20-Aug-07,50
15,"Kasangezi SS"," 280 "," 13 "," 50 ",315,"Kasulu","19083",17-Aug-07,50
16,"St. Mathias Mulumba"," 275 "," 34 "," 50 ",71,"Kasulu","19084",17-Aug-07,50
17,"Malagarasi ss"," 324 "," 16 "," 50 ",2036,"Kibondo","19085",24-Aug-07,50
18,"Mabamba Girls ss"," 218 "," 13 "," 50 ",2036,"Kibondo","19086",22-Aug-07,50
19,"Mlole ss"," 520 "," 28 "," 75 ",96,"Kigoma","20568",17-Aug-07,75
20,"Muhange ss"," 160 "," 13 "," 50 ",43,"Kibondo","19087",21-Aug-07,50
21,"Ujiji Seminary ss / M.A.T.C"," 316 "," 21 "," 75 ",583,"Ujiji","20554",15-Aug-07,75
22,"Nyarubanda SS"," 290 "," 22 "," 50 ",77,"Kigoma","19088",21-Aug-07,50
23,"Jihadi ss"," 180 "," 10 "," 50 ",898,"Ujiji","20566",20-Aug-07,50
24,"Newman ss"," 206 "," 12 "," 50 ",71,"Kigoma","20565",16-Aug-07,50
25,"Ahalul Bayatis ss"," 135 "," 10 "," 50 ","p/bag","Kigoma","20564",16-Aug-07,50
26,"Moyowosi ss"," 224 "," 13 "," 50 ",154,"Kibondo","19089",20-Aug-07,50
27,"Majengo ss / Rusimbi ss",,," 50 ",,"Kigoma","20563",17-Aug-07,50
28,"Kichangachui ss",,," 50 ",524,"Kigoma","20562",17-Aug-07,50
29,"Mwilamvya ss",,," 50 ",,"Kigoma","19090",15-Aug-07,50
30,"Ishimwe ss",,," 50 ",,"Kigoma","19091",17-Aug-07,50
31,"Mhalule ss",,," 50 ",,"Kigoma","19093",20-Aug-07,50
32,"Kalinzi ss",,," 50 ",,"Kigoma","19092",21-Aug-07,50
33,"Janda ss / Buyenzi ss",,," 50 ",,"Kigoma","19072",14-Aug-07,50
34,"Luiche ss",,," 50 ",,"Kigoma","19095",21-Aug-07,50
35,"Bitale ss",,," 50 ",,"Kigoma(V)","19094",20-Aug-07,50
36,"Kumgogo ss",,," 50 ",,"Kigoma(V)","19096",23-Aug-07,50
37,"Kakonko ss",,," 50 ",,"Kigoma(V)","19097",21-Aug-07,50
38,"Kibogora Seminary ",,," 50 ",,"Kigoma","19077",20-Aug-07,50
39,"Bishop ss",,," 50 ",,"kigoma","19099",24-Aug-07,50
40,"Lubanga ss",,," 50 ",15,"Kigoma","19100",21-Aug-07,50
41,"Busagara ss",,," 50 ",81,"Kigoma","20099",22-Aug-07,50
42,"Gwanumpu ss",,," 50 ",187,"Kigoma","20100",24-Aug-07,50
43,"Kabanda ss",,," 50 ",74,"kigoma","20572",18-Aug-07,50
44,"Kagera Lukiga ss",,," 50 ",,"Kigoma","20558",18-Aug-07,50
45,"Heru juu ss",,," 50 ",,"Kasulu","20687",20-Aug-07,50
46,"Heru Chini ss",,," 50 ",,"Kasulu","20551",16-Aug-07,50
47,"Sabasaba ss / Mt. Carmel Girls ss",,," 50 ",1102,"Kigoma","20567",20-Aug-07,50
48,"D W T ss",,," 50 ",1378,"Kigoma","20560",16-Aug-07,50
49,"Katubuka ss",,," 50 ",,"Kigoma","20559",17-Aug-07,50
50,"Buronge ss",,," 50 ",1233,"Kigoma","20557",16-Aug-07,50
51,"Kibondo seminary ss",,," 50 ",,"Kibondo","20686",22-Aug-07,50
52,"Kidep ss / Mwananchi ss",,," 50 ",,"Kigoma","20556",15-Aug-07,50
53,"TTC Kasulu",,," 75 ",,"Kasulu","20688",20-Aug-07,75
54,"Veta ",,," 50 ",,"Kigoma","20555",15-Aug-07,50
55,"Folk Dev.Collage",,," 50 ",,"Kasulu","20552",18-Aug-07,50
56,"Kabanga TTC",,," 75 ",,"Kasulu","20553",21-Aug-07,75
57,"Chuo Cha Waganga / Kihinga FDC",,," 50 ",458,"Kigoma","20573",20-Aug-07,50
,," 8,007 "," 497 "," 3,050 ",,,,,"3,050"
,"KILIMANJARO",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Ashira SS"," 742 "," 54 "," 75 ",3000,"Moshi","20501",07-Aug-07,75
2,"Kirangare SS"," 197 "," 14 "," 50 ",43,"Hedaru",20502,02-Aug-07,50
3,"Lomwe SS"," 700 "," 50 "," 100 ",215,"Mwanga",20503,02-Aug-07,100
4,"Mangio SS"," 223 "," 20 "," 50 ",20,"Mwanga",20504,02-Aug-07,50
5,"Marangu SS"," 722 "," 38 "," 100 ",217,"Marangu",20505,07-Aug-07,100
6,"Mwika SS"," 600 "," 20 "," 75 ",30,"Mwika",20506,02-Aug-07,75
7,"Namfua SS"," 700 "," 32 "," 100 ",102,"Rombo",20507,02-Aug-07,100
8,"Same SS"," 752 "," 55 "," 75 ",17,"Same",20508,03-Aug-07,75
9,"Siha SS"," 365 "," 24 "," 50 ",1605,"Sanya Juu",20509,30-Jul-08,50
10,"Umbwe SS"," 700 "," 44 "," 100 ",718,"Kibosho",20510,06-Aug-07,100
11,"Usangi SS"," 110 "," 16 "," 50 ",200,"Usangi",20511,02-Aug-07,50
12,"Vunjo SS"," 580 "," 30 "," 75 ",1583,"Moshi",20512,07-Aug-07,75
13,"Wari SS"," 240 "," 19 "," 50 ",1988,"Hai",20513,30-Jul-08,50
14,"Weruweru SS"," 620 "," 34 "," 75 ",575,"Moshi",20514,02-Aug-07,75
15,"Oshara ss"," 241 "," 18 "," 50 ",31,"Hai",20515,30-Jul-07,50
16,"Lyamungo ss"," 541 "," 41 "," 50 ",3020,"Hai",20516,02-Aug-07,50
17,"Machame Girls ss"," 872 "," 38 "," 75 ",3043,"Hai",20517,28-Aug-07,75
18,"Lang'ata ss"," 218 "," 13 "," 50 ",208,"Mwanga",20518,02-Aug-07,50
19,"Msangeni ss"," 300 "," 24 "," 50 ",7131,"Ugweno",20519,02-Aug-07," 50 "
20,"Tarakea ss"," 507 "," 23 "," 50 ",427,"Rombo",20520,17-Aug-07," 50 "
21,"Horombo ss"," 474 "," 17 "," 50 ",186,"Rombo",20521,17-Aug-07," 50 "
22,"Malindi ss"," 261 "," 15 "," 50 ",1,"Suji Same",20522,02-Aug-07," 50 "
23,"Gonja ss"," 350 "," 15 "," 50 ",679,"Same",20523,30-Jul-07," 50 "
24,"Bangalala"," 200 "," 11 "," 50 ",162,"Same",20524,02-Aug-07," 50 "
25,"Moshi Techinical SS"," 950 "," 114 "," 75 ",3014,"Moshi",20525,31-Jul-07," 75 "
26,"Mandaka Teachers Coll"," 400 "," 46 "," 100 ",725,"Moshi",20526,31-Jul-07," 100 "
27,"Olaleni SS"," 300 "," 30 "," 50 ",176,"Himo",20527,31-Jul-07," 50 "
28,"Muungano ss"," 215 "," 12 "," 50 ",36,"Himo",20528,31-Jul-07," 50 "
29,"Kiselu ss"," 416 "," 22 "," 50 ",8889,"Moshi",20529,02-Jul-07," 50 "
30,"Mboni ss"," 196 "," 22 "," 50 ",717,"Marangu",20530,07-Aug-07," 50 "
31,"Sanya juu ss"," 200 "," 15 "," 50 ",564,"Moshi",20531,02-Aug-07," 50 "
32,"Lyakirimu ss"," 250 "," 18 "," 50 ",642,"Marangu",20532,07-Aug-07," 50 "
33,"Mruma Girls ss"," 153 "," 12 "," 50 ",7135,"Ugweno",20533,31-Jul-07," 50 "
34,"Kisale ss"," 460 "," 26 "," 50 ",243,"Mkuu-Rombo",20534,17-Aug-07," 50 "
35,"Mahida ss"," 390 "," 27 "," 50 ",432,"Mkuu-Rombo",20535,02-Aug-07," 50 "
